StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,8/31/20,9/6/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,9/7/20,9/13/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,9/14/20,9/20/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,9/21/20,9/27/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,9/28/20,10/4/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,10/5/20,10/11/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,10/12/20,10/18/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,10/19/20,10/25/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,10/26/20,11/1/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,11/2/20,11/8/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,11/9/20,11/15/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,11/16/20,11/22/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,11/23/20,11/29/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,11/30/20,12/6/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,12/7/20,12/13/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,12/14/20,12/20/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,12/21/20,12/27/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,12/28/20,1/3/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,1/4/21,1/10/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,1/11/21,1/17/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,1/18/21,1/24/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,1/25/21,1/31/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,2/1/21,2/7/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,2/8/21,2/14/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,2/15/21,2/21/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,2/22/21,2/28/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,3/1/21,3/7/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,3/8/21,3/14/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,3/15/21,3/21/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,3/22/21,3/28/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,3/29/21,4/4/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,4/5/21,4/11/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,4/12/21,4/18/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,4/19/21,4/25/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,4/26/21,5/2/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,5/3/21,5/9/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,5/10/21,5/16/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,5/17/21,5/23/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,5/24/21,5/30/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,5/31/21,6/6/21,,Closed,Closed,Closed,,School Ended,School Ended,School Ended,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #1,Regular local school district,5602140,501000,1643,Weekly,6/7/21,6/13/21,,Closed,Closed,Closed,,School Ended,School Ended,School Ended,,,,333,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,8/17/20,8/23/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,8/24/20,8/30/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,8/31/20,9/6/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,9/7/20,9/13/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,9/14/20,9/20/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,9/21/20,9/27/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,9/28/20,10/4/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,10/5/20,10/11/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,10/12/20,10/18/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,10/19/20,10/25/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,10/26/20,11/1/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,11/2/20,11/8/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,11/9/20,11/15/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,11/16/20,11/22/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,11/23/20,11/29/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,11/30/20,12/6/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,12/7/20,12/13/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,12/14/20,12/20/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,12/21/20,12/27/20,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,12/28/20,1/3/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,1/4/21,1/10/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,1/11/21,1/17/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
Wyoming,WY,District,No,,,,,Converse County School District #2,Regular local school district,5602150,502000,668,Weekly,1/18/21,1/24/21,,In-person,In-person,In-person,,All Grades In-Person,All Grades In-Person,All Grades In-Person,,,,123,
