StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,644,Weekly,9/28/20,10/2/20,,In-person,In-person,,,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,648,Weekly,10/5/20,10/9/20,,In-person,In-person,,,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,650,Weekly,10/12/20,10/16/20,,In-person,In-person,,,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,650,Weekly,10/19/20,10/23/20,,In-person,In-person,,,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,650,Weekly,10/26/20,10/30/20,,In-person,In-person,,,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,11/2/20,11/6/20,,,,,,,,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,650,Weekly,11/9/20,11/13/20,,In-person,In-person,,,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,11/16/20,11/20/20,Hybrid,Hybrid,Hybrid,,Most Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,11/30/20,12/4/20,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,12/7/20,12/11/20,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,12/14/20,12/18/20,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,1/4/21,1/8/21,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,1/11/21,1/15/21,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,1/18/21,1/22/21,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,1/25/21,1/29/21,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,2/1/21,2/5/21,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,2/8/21,2/12/21,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,2/22/21,2/26/21,Hybrid,Hybrid,Hybrid,,Most/All Grades Hybrid,Hybrid,Hybrid,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,3/1/21,3/5/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,3/8/21,3/12/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,3/15/21,3/19/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,3/22/21,3/26/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,3/29/21,4/2/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,4/5/21,4/9/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,4/19/21,4/23/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,4/26/21,4/30/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,5/3/21,5/7/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,5/10/21,5/14/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,5/17/21,5/21/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,5/24/21,5/28/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,Yes,,,,,Jumoke Academy District,Charter agency,0900007,2610013,633,Weekly,5/31/21,6/4/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,53,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,207,Weekly,9/7/20,9/11/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,207,Weekly,9/14/20,9/18/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,207,Weekly,9/21/20,9/25/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,207,Weekly,9/28/20,10/2/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,206,Weekly,10/5/20,10/9/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,206,Weekly,10/12/20,10/16/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,206,Weekly,10/19/20,10/23/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,206,Weekly,10/26/20,10/30/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,205,Weekly,11/2/20,11/6/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,205,Weekly,11/9/20,11/13/20,,In-person,In-person,,,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,11/16/20,11/20/20,In-person,In-person,In-person,,Most Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,11/30/20,12/4/20,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,12/7/20,12/11/20,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,12/14/20,12/18/20,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,1/4/21,1/8/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,1/11/21,1/15/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,1/18/21,1/22/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,1/25/21,1/29/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,2/1/21,2/5/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,2/8/21,2/12/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,2/22/21,2/26/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,3/1/21,3/5/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,3/8/21,3/12/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,3/15/21,3/19/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,3/22/21,3/26/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,3/29/21,4/2/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,4/5/21,4/9/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,4/19/21,4/23/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,4/26/21,4/30/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,5/3/21,5/7/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,5/10/21,5/14/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,5/17/21,5/21/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,5/24/21,5/28/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Kent School District,Regular local school district,0902040,680011,195,Weekly,5/31/21,6/4/21,In-person,In-person,In-person,,Most/All Grades Fully In-Person,In-person,In-person,,,,,38,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2340,Weekly,8/31/20,9/4/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2449,Weekly,9/7/20,9/11/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2438,Weekly,9/14/20,9/18/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2426,Weekly,9/21/20,9/25/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2420,Weekly,9/28/20,10/2/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2417,Weekly,10/5/20,10/9/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2420,Weekly,10/12/20,10/16/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2414,Weekly,10/19/20,10/23/20,,Hybrid,Virtual,Virtual,,Hybrid,Remote,Remote,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2411,Weekly,10/26/20,10/30/20,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2405,Weekly,11/2/20,11/6/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2399,Weekly,11/9/20,11/13/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,11/16/20,11/20/20,Hybrid,Hybrid,Virtual,Hybrid,Most Grades Hybrid,Hybrid,Remote,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,11/30/20,12/4/20,Virtual,Virtual,Virtual,Virtual,Most/All Grades Fully Remote,Remote,Remote,Remote,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,12/7/20,12/11/20,Virtual,Virtual,Virtual,Virtual,Most/All Grades Fully Remote,Remote,Remote,Remote,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,12/14/20,12/18/20,Virtual,Virtual,Virtual,Virtual,Most/All Grades Fully Remote,Remote,Remote,Remote,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,1/4/21,1/8/21,Virtual,Virtual,Virtual,Virtual,Most/All Grades Fully Remote,Remote,Remote,Remote,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,1/11/21,1/15/21,Hybrid,Hybrid,Hybrid,Hybrid,Most/All Grades Hybrid,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,1/18/21,1/22/21,Hybrid,Hybrid,Virtual,Hybrid,Most/All Grades Hybrid,Hybrid,Remote,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,1/25/21,1/29/21,Virtual,Virtual,Virtual,Virtual,Most/All Grades Fully Remote,Remote,Remote,Remote,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,2/1/21,2/5/21,Hybrid,Hybrid,Hybrid,Hybrid,Most/All Grades Hybrid,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,2/8/21,2/12/21,Hybrid,Hybrid,Virtual,Hybrid,Most/All Grades Hybrid,Hybrid,Remote,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,2/22/21,2/26/21,Hybrid,Hybrid,Hybrid,Hybrid,Most/All Grades Hybrid,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,3/1/21,3/5/21,Hybrid,Hybrid,Hybrid,Hybrid,Most/All Grades Hybrid,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,3/8/21,3/12/21,Hybrid,Hybrid,Hybrid,Hybrid,Most/All Grades Hybrid,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,3/15/21,3/19/21,Hybrid,Hybrid,Hybrid,Hybrid,Most/All Grades Hybrid,Hybrid,Hybrid,Hybrid,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,3/22/21,3/26/21,In-person,In-person,In-person,In-person,Most/All Grades Fully In-Person,In-person,In-person,In-person,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,3/29/21,4/2/21,In-person,In-person,In-person,In-person,Most/All Grades Fully In-Person,In-person,In-person,In-person,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,4/5/21,4/9/21,In-person,In-person,In-person,In-person,Most/All Grades Fully In-Person,In-person,In-person,In-person,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,4/19/21,4/23/21,,,,,,,,,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,4/26/21,4/30/21,In-person,In-person,In-person,In-person,Most/All Grades Fully In-Person,In-person,In-person,In-person,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,5/3/21,5/7/21,In-person,In-person,In-person,In-person,Most/All Grades Fully In-Person,In-person,In-person,In-person,,,,246,
Connecticut,CT,District,No,,,,,Killingly School District,Regular local school district,0902070,690011,2249,Weekly,5/10/21,5/14/21,In-person,In-person,In-person,In-person,Most/All Grades Fully In-Person,In-person,In-person,In-person,,,,246,
